URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
138368,Hillingdon,Parkside Studio College,509087,181288,Studio Schools,Secondary,29.8,No,Hayes and Harlington,Open,
101243,Barking and Dagenham,Eastbrook School,550112,185839,Community School,Secondary,29.8,No,Dagenham and Rainham,Open,
102811,Redbridge,Mossford Green Primary School,544165,190115,Community School,Primary,29.8,No,Ilford North,Open,
137077,Hillingdon,Rosedale College,509083,181288,Academy Converter,Secondary,29.8,No,Hayes and Harlington,Open,
101758,Croydon,Gresham Primary School,534004,161153,Community School,Primary,29.8,No,Croydon South,Open,
102180,Harrow,The Helix Education Centre,515284,191728,Pupil Referral Unit,Not applicable,29.8,No,Harrow East,Open,
132264,Hounslow,Fairholme Primary School,508889,173237,Community School,Primary,29.8,No,Feltham and Heston,Open,
100489,Kingston upon Thames,Christ Church CofE Primary School,519292,167354,Voluntary Aided School,Primary,29.7,No,Chelsea and Fulham,Open,
101230,Redbridge,Roding Primary School,542424,191453,Community School,Primary,29.7,No,Barking,Open,
130919,Barking and Dagenham,Godwin Primary School,548443,184276,Community School,Primary,29.7,No,Barking,Open,
101502,Brent,Uxendon Manor Primary School,518026,188544,Community School,Primary,29.7,No,Brent North,Open,
102209,Harrow,Stag Lane Infant and Nursery School,519215,190371,Community School,Primary,29.7,No,Harrow East,Open,
100197,Greenwich,Hawksmoor School,546726,180495,Foundation School,Primary,29.7,No,Erith and Thamesmead,Open,
139722,Sutton,Carew Academy,529621,165296,Academy Special Sponsor Led,Not applicable,29.7,No,Carshalton and Wallington,Open,
102941,Richmond upon Thames,Athelstan House School,513222,169931,Other Independent School,Not applicable,29.7,No,Twickenham,Open,
139213,Bexley,St Augustine of Canterbury CofE Primary School,548919,178971,Academy Sponsor Led,Primary,29.7,No,Erith and Thamesmead,Open,
137681,Bexley,St Catherine's Catholic School,549953,175009,Academy Converter,Secondary,29.7,No,Bexleyheath and Crayford,Open,
130440,Harrow,Stanmore College,517067,191821,Further Education,16 Plus,29.7,No,Harrow East,Open,
102409,Hillingdon,Warrender Primary School,509964,187686,Community School,Primary,29.7,No,"Ruislip, Northwood and Pinner",Open,
100791,Harrow,Grange Primary School,513848,187215,Community School,Primary,29.6,No,Bermondsey and Old Southwark,Open,
136800,Sutton,Greenshaw High School,526548,165719,Academy Converter,Secondary,29.6,No,Sutton and Cheam,Open,
102982,Sutton,Dorchester Primary School,523168,166077,Community School,Primary,29.6,No,Sutton and Cheam,Open,
102806,Redbridge,Glade Primary School,542650,190425,Community School,Primary,29.6,No,Ilford North,Open,
102432,Hillingdon,Grange Park Junior School,509872,182060,Foundation School,Primary,29.6,No,Hayes and Harlington,Open,
102433,Hillingdon,Grange Park Infant and Nursery School,509872,182060,Foundation School,Primary,29.6,No,Hayes and Harlington,Open,
101501,Brent,Mount Stewart Infant School,517772,187995,Community School,Primary,29.6,No,Brent North,Open,
