URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
134154,Tower Hamlets,Courtauld Institute of Art,530773,180770,Higher Education Institutions,Not applicable,73.1,Yes,Cities of London and Westminster,Open,
133910,Westminster,London School of Economics and Political Science,530778,181130,Higher Education Institutions,Not applicable,68.2,Yes,Cities of London and Westminster,Open,
100529,Lambeth,DLD College London,530860,179614,Other Independent School,Not applicable,67.8,Yes,Vauxhall,Open,
133167,Southwark,London College of Printing & Distributive Trades,531909,178989,Miscellaneous,Not applicable,67.3,Yes,Bermondsey and Old Southwark,Open,
101136,Westminster,St Mary's Bryanston Square CofE School,527546,181766,Voluntary Aided School,Primary,67,Yes,Cities of London and Westminster,Open,
137333,Camden,CATS College London,530364,181581,Other Independent School,Not applicable,66.9,Yes,Holborn and St Pancras,Open,
100351,Hammersmith and Fulham,St Paul's CofE Primary School,523176,178344,Voluntary Aided School,Primary,65.2,Yes,Hammersmith,Open,
101127,Westminster,St Clement Danes CofE Primary School,530611,181081,Voluntary Aided School,Primary,65,Yes,Cities of London and Westminster,Open,
137353,Westminster,The St Marylebone CofE School,528296,181984,Academy Converter,Secondary,64.8,Yes,Cities of London and Westminster,Open,
133861,Westminster,Royal Academy of Music,528321,182141,Higher Education Institutions,Not applicable,64.8,Yes,Cities of London and Westminster,Open,
101140,Westminster,St Peter's Eaton Square CofE Primary School,528736,179092,Voluntary Aided School,Primary,64.3,Yes,Cities of London and Westminster,Open,
100828,Southwark,St George's Cathedral Catholic Primary School,531508,179409,Voluntary Aided School,Primary,64.3,Yes,Bermondsey and Old Southwark,Open,
101147,Westminster,Christ Church Bentinck CofE Primary School,527312,181875,Voluntary Aided School,Primary,64.1,Yes,Westminster North,Open,
101164,Westminster,Connaught House School,527570,181036,Other Independent School,Not applicable,63.8,Yes,Cities of London and Westminster,Open,
138275,Westminster,The Minerva Academy,527282,181421,Free Schools,Primary,63.7,Yes,Cities of London and Westminster,Open,
133874,Lambeth,King's College London,531077,180142,Higher Education Institutions,Not applicable,62.7,Yes,Vauxhall,Open,
133898,Westminster,University of Westminster,528922,181397,Higher Education Institutions,Not applicable,62.6,Yes,Cities of London and Westminster,Open,
100000,City of London,Sir John Cass's Foundation Primary School,533498,181201,Voluntary Aided School,Primary,62.6,Yes,Cities of London and Westminster,Open,
100003,City of London,City of London School,531981,180844,Other Independent School,Not applicable,62.6,Yes,Cities of London and Westminster,Open,
139415,Westminster,Halcyon London International School,527649,181229,Other Independent School,Not applicable,62.4,Yes,Cities of London and Westminster,Open,
100511,Kensington and Chelsea,Queen's Gate School,526555,178883,Other Independent School,Not applicable,61.8,Yes,Kensington,Open,
100928,Tower Hamlets,Woolmore Primary School,538273,180944,Community School,Primary,61.8,Yes,Poplar and Limehouse,Open,
138980,Tower Hamlets,Al Ashraaf Secondary School,533883,181402,Other Independent School,Not applicable,61.3,Yes,Bethnal Green and Bow,Open,
133908,Camden,Conservatoire for Dance and Drama,529865,182529,Higher Education Institutions,Not applicable,61,Yes,Holborn and St Pancras,Open,
100458,Islington,Central Foundation Boys' School,532888,182441,Voluntary Aided School,Secondary,60.6,Yes,Islington South and Finsbury,Open,
101171,Westminster,International Community School,528286,182168,Other Independent School,Not applicable,60.4,Yes,Cities of London and Westminster,Open,
100002,City of London,St Paul's Cathedral School,532160,181151,Other Independent School,Not applicable,60.3,Yes,Cities of London and Westminster,Open,
100537,Kensington and Chelsea,Ashbourne Independent School,525763,179751,Other Independent School,Not applicable,60.3,Yes,Kensington,Open,
130412,Lambeth,Morley College,531293,179353,Further Education,16 Plus,60.2,Yes,Vauxhall,Open,
100547,Kensington and Chelsea,Lycee Francais Charles de Gaulle,526663,178950,Other Independent School,Not applicable,60.1,Yes,Kensington,Open,
130401,Camden,City Lit,530540,181228,Further Education,16 Plus,59.9,Yes,Holborn and St Pancras,Open,
137935,Hammersmith and Fulham,Sacred Heart High School,523435,178678,Academy Converter,Secondary,59.8,Yes,Hammersmith,Open,
139659,Lambeth,Oasis Academy South Bank,531176,179406,Free Schools,Secondary,59.4,Yes,Vauxhall,Open,
133900,Camden,University of the Arts London,530788,181561,Higher Education Institutions,Not applicable,59,Yes,Holborn and St Pancras,Open,
101123,Westminster,Hampden Gurney CofE Primary School,527459,181362,Voluntary Aided School,Primary,58.9,Yes,Cities of London and Westminster,Open,
100008,Camden,Argyle Primary School,530238,182761,Community School,Primary,58.8,Yes,Holborn and St Pancras,Open,
130342,Camden,Christopher Hatton Primary School,531069,182107,Community School,Primary,58.4,Yes,Holborn and St Pancras,Open,
100041,Camden,St Josephs Primary School,530415,181368,Voluntary Aided School,Primary,58.1,Yes,Holborn and St Pancras,Open,
100526,Kensington and Chelsea,Duff Miller College,526459,179022,Other Independent School,Not applicable,58,Yes,Kensington,Open,
100629,Lambeth,St Anne's Catholic Primary School,530677,177967,Voluntary Aided School,Primary,57.7,Yes,Vauxhall,Open,
135616,Kensington and Chelsea,Snowflake School,525243,178703,Other Independent Special School,Not applicable,57.3,Yes,Kensington,Open,
139239,Westminster,L'ecole Internationale Franco-Anglaise Ltd,528832,181753,Other Independent School,Not applicable,57.2,Yes,Cities of London and Westminster,Open,
100893,Tower Hamlets,Canon Barnett Primary School,533888,181473,Community School,Primary,57.2,Yes,Bethnal Green and Bow,Open,
101144,Westminster,St Vincent de Paul RC Primary School,529206,179068,Voluntary Aided School,Primary,56.9,Yes,Cities of London and Westminster,Open,
100541,Westminster,Portland Place School,528802,181843,Other Independent School,Not applicable,56.9,Yes,Cities of London and Westminster,Open,
101166,Westminster,Westminster Cathedral Choir School,529231,179110,Other Independent School,Not applicable,56.7,Yes,Cities of London and Westminster,Open,
133899,Westminster,The Royal College of Nursing,528747,181306,Higher Education Institutions,Not applicable,56.6,Yes,Cities of London and Westminster,Open,
133862,Camden,Central School of Speech and Drama,526706,184406,Higher Education Institutions,Not applicable,56.5,Yes,Hampstead and Kilburn,Open,
102865,Redbridge,St Joseph's Convent School,540256,188050,Other Independent School,Not applicable,56.3,Yes,Leyton and Wanstead,Open,
101159,Westminster,Westminster Abbey Choir School,529927,179412,Other Independent School,Not applicable,56.2,Yes,Cities of London and Westminster,Open,
133902,Camden,University College London,529589,182302,Higher Education Institutions,Not applicable,55.9,Yes,Holborn and St Pancras,Open,
100859,Southwark,Notre Dame Roman Catholic Girls' School,531562,179260,Voluntary Aided School,Secondary,55.9,Yes,Bermondsey and Old Southwark,Open,
100824,Tower Hamlets,English Martyrs Roman Catholic Primary School,533902,181086,Voluntary Aided School,Primary,55.9,Yes,Bermondsey and Old Southwark,Open,
131198,Tower Hamlets,Green Gables Montessori Primary School,534831,180704,Other Independent School,Not applicable,55.6,Yes,Poplar and Limehouse,Open,
100616,Southwark,St Jude's Church of England Primary School,531616,179248,Voluntary Aided School,Primary,55.6,Yes,Dulwich and West Norwood,Open,
101158,Westminster,Francis Holland School,527724,182244,Other Independent School,Not applicable,55.4,Yes,Cities of London and Westminster,Open,
100544,Kensington and Chelsea,David Game College,525255,180419,Other Independent School,Not applicable,55.4,Yes,Kensington,Open,
100521,Kensington and Chelsea,More House School,527841,179203,Other Independent School,Not applicable,55.3,Yes,Kensington,Open,
132790,Kensington and Chelsea,Holland Park Pre-Preparatory School,524572,179086,Other Independent School,Not applicable,55.3,Yes,Kensington,Open,
142408,Camden,Ecole Jeannine Manuel,529854,181588,Other Independent School,Not applicable,55.2,Yes,Holborn and St Pancras,Open,
100497,Kensington and Chelsea,St Mary Abbots CofE Primary School,525573,179680,Voluntary Aided School,Primary,55.2,Yes,Kensington,Open,
100088,Camden,The Phoenix School,526485,184553,Other Independent School,Not applicable,55.1,Yes,Hampstead and Kilburn,Open,
137889,Camden,The Abbey College In London,530303,181747,Other Independent School,Not applicable,55,Yes,Holborn and St Pancras,Closed,8/14/2015
100813,Southwark,Tower Bridge Primary School,533570,179825,Community School,Primary,55,Yes,Bermondsey and Old Southwark,Open,
100849,Southwark,St Saviour's and St Olave's Church of England School,532857,179036,Voluntary Aided School,Secondary,54.9,Yes,Bermondsey and Old Southwark,Open,
140807,Kensington and Chelsea,Latimer Ap Academy,523612,180946,Academy Alternative Provision Converter,Not applicable,54.8,Yes,Kensington,Open,
100473,Kensington and Chelsea,St Anne's Nursery School,523612,180946,LA Nursery School,Nursery,54.8,Yes,Kensington,Open,
100438,Islington,St John Evangelist RC Primary School,531600,183377,Voluntary Aided School,Primary,54.7,Yes,Islington South and Finsbury,Open,
140939,Westminster,Harris Westminster Sixth Form,529816,179501,Free Schools - 16-19,Secondary,54.6,Yes,Cities of London and Westminster,Open,
101146,Westminster,Westminster Cathedral RC Primary School,529777,178296,Voluntary Aided School,Primary,54.5,Yes,Cities of London and Westminster,Open,
100518,Kensington and Chelsea,Hill House School,527797,179194,Other Independent School,Not applicable,54.5,Yes,Kensington,Open,
140564,Lambeth,King's College London Maths School,531160,179152,Free Schools - 16-19,16 Plus,54.4,Yes,Vauxhall,Open,
137331,Hammersmith and Fulham,Ark Conway Primary Academy,522054,180889,Free Schools,Primary,54.4,Yes,Hammersmith,Open,
135800,Westminster,Fashion Retail Academy,529615,181475,Further Education,16 Plus,54.2,Yes,Cities of London and Westminster,Open,
135409,Southwark,London Christian School,532562,179654,Other Independent School,Not applicable,54.1,Yes,Bermondsey and Old Southwark,Open,
133906,Camden,Institute of Education,529934,182166,Higher Education Institutions,Not applicable,53.9,Yes,Holborn and St Pancras,Open,
100490,Kensington and Chelsea,Holy Trinity CofE Primary School,528059,178778,Voluntary Aided School,Primary,53.9,Yes,Chelsea and Fulham,Open,
100543,Westminster,St Nicholas Preparatory School,526885,179631,Other Independent School,Not applicable,53.8,Yes,Cities of London and Westminster,Open,
100508,Kensington and Chelsea,Glendower Preparatory School,526502,178797,Other Independent School,Not applicable,53.8,Yes,Kensington,Open,
138312,Westminster,Westminster City School,529272,179311,Academy Converter,Secondary,53.5,Yes,Cities of London and Westminster,Open,
100032,Camden,"Holy Trinity CofE Primary School, NW3",526445,184601,Voluntary Aided School,Primary,53.3,Yes,Hampstead and Kilburn,Open,
138680,Hammersmith and Fulham,Ark Bentworth Primary Academy,522755,181081,Academy Converter,Primary,53.3,Yes,Hammersmith,Open,
100834,Southwark,"Saint Joseph's Catholic Primary School, the Borough",532485,179893,Voluntary Aided School,Primary,53.2,Yes,Bermondsey and Old Southwark,Open,
101126,Westminster,St Barnabas' CofE Primary School,528421,178462,Voluntary Aided School,Primary,53.1,Yes,Cities of London and Westminster,Open,
133873,Southwark,London South Bank University,531869,179427,Higher Education Institutions,Not applicable,53.1,Yes,Bermondsey and Old Southwark,Open,
138403,Newham,London Academy of Excellence,538720,184144,Free Schools - 16-19,16 Plus,53.1,Yes,West Ham,Open,
100076,Camden,South Hampstead High School,526491,184607,Other Independent School,Not applicable,53.1,Yes,Hampstead and Kilburn,Open,
136504,Hammersmith and Fulham,TLG West London,522847,178488,Other Independent School,Not applicable,53,Yes,Hammersmith,Open,
101131,Westminster,Soho Parish CofE Primary School,529559,180851,Voluntary Aided School,Primary,52.9,Yes,Cities of London and Westminster,Open,
100461,Islington,Italia Conti Academy of Theatre Arts,532064,182084,Other Independent School,Not applicable,52.9,Yes,Islington South and Finsbury,Open,
135729,Hammersmith and Fulham,Young Dancers Academy,523337,180004,Other Independent School,Not applicable,52.6,Yes,Hammersmith,Open,
130419,Tower Hamlets,Workers' Educational Association,533229,182332,Further Education,16 Plus,52.4,Yes,Hackney South and Shoreditch,Open,
101174,Westminster,St John's Wood Pre-Preparatory School,527164,182912,Other Independent School,Not applicable,52.3,Yes,Westminster North,Open,
133903,Camden,London School of Hygiene & Tropical Medicine,529790,181879,Higher Education Institutions,Not applicable,52.2,Yes,Holborn and St Pancras,Open,
100463,City of London,Charterhouse Square School,531998,181875,Other Independent School,Not applicable,52.2,Yes,Cities of London and Westminster,Open,
100498,Kensington and Chelsea,St Cuthbert with St Matthias CofE Primary School,525509,178268,Voluntary Aided School,Primary,52.2,Yes,Kensington,Open,
100015,Camden,Hawley Infant School,528895,184038,Community School,Primary,52.2,Yes,Holborn and St Pancras,Open,
140064,Tower Hamlets,Culloden Primary - A Paradigm Academy,538399,181277,Academy Converter,Primary,52.1,Yes,Poplar and Limehouse,Open,
133887,Kensington and Chelsea,"Imperial College of Science, Technology and Medicine",526549,179525,Higher Education Institutions,Not applicable,52,Yes,Cities of London and Westminster,Open,
100477,Kensington and Chelsea,Ashburnham Community School,526554,177396,Community School,Primary,52,Yes,Chelsea and Fulham,Open,
131288,Barnet,Wentworth Tutorial College,523927,188384,Other Independent School,Not applicable,52,Yes,Hendon,Open,
130409,Islington,City and Islington College,530471,185923,Further Education,16 Plus,51.9,Yes,Islington South and Finsbury,Closed,8/1/2016
100500,Kensington and Chelsea,Servite RC Primary School,526204,177810,Voluntary Aided School,Primary,51.8,Yes,Chelsea and Fulham,Open,
133889,Kensington and Chelsea,Royal College of Art,526529,179619,Higher Education Institutions,Not applicable,51.8,Yes,Cities of London and Westminster,Open,
101173,Westminster,Fairley House School,529819,178495,Other Independent Special School,Not applicable,51.7,Yes,Cities of London and Westminster,Open,
100935,Tower Hamlets,Shapla Primary School,534320,180791,Community School,Primary,51.6,Yes,Poplar and Limehouse,Open,
100959,Tower Hamlets,St Paul's Whitechapel Church of England Primary School,534320,180791,Voluntary Aided School,Primary,51.6,Yes,Poplar and Limehouse,Open,
134782,Islington,The Gower School,530947,183144,Other Independent School,Not applicable,51.6,Yes,Islington South and Finsbury,Open,
130421,Camden,Westminster Kingsway College,530614,182571,Further Education,16 Plus,51.5,Yes,Holborn and St Pancras,Open,
100965,Tower Hamlets,Bow School,538190,182375,Community School,Secondary,51.5,Yes,Poplar and Limehouse,Open,
100840,Southwark,The Cathedral School of St Saviour and St Mary Overy,532389,179937,Voluntary Aided School,Primary,51.4,Yes,Bermondsey and Old Southwark,Open,
130404,Camden,The Mary Ward Centre (AE Centre),530406,181888,Further Education,16 Plus,51.3,Yes,Holborn and St Pancras,Open,
100816,Southwark,Charlotte Sharman Primary School,531591,179128,Foundation School,Primary,51.1,Yes,Bermondsey and Old Southwark,Open,
133489,Westminster,Hospital Home and Education Units co St Mary's Hospitial Tuition Unit,526781,181380,Miscellaneous,Not applicable,51.1,Yes,Cities of London and Westminster,Open,
131262,Westminster,Westminster Academy,525509,181766,Academy Sponsor Led,Secondary,51.1,Yes,Westminster North,Open,
137430,Lambeth,Oasis Academy Johanna,531185,179665,Academy Converter,Primary,51,Yes,Vauxhall,Open,
100022,Camden,Richard Cobden Primary School,529342,183487,Community School,Primary,50.9,Yes,Holborn and St Pancras,Open,
100388,Islington,New River College Primary,532189,182187,Pupil Referral Unit,Not applicable,50.9,Yes,Islington South and Finsbury,Open,
101172,Westminster,The Sylvia Young Theatre School,527584,181403,Other Independent School,Not applicable,50.8,Yes,Cities of London and Westminster,Open,
138313,Westminster,The Grey Coat Hospital,529594,179104,Academy Converter,Secondary,50.7,Yes,Cities of London and Westminster,Open,
100036,Camden,St Alban's Church of England Primary School,531156,181834,Voluntary Aided School,Primary,50.6,Yes,Holborn and St Pancras,Open,
133860,Westminster,London Business School,527645,182454,Higher Education Institutions,Not applicable,50.6,Yes,Westminster North,Open,
130403,Camden,The Working Men's College,529378,183461,Further Education,16 Plus,50.5,Yes,Holborn and St Pancras,Open,
133904,Camden,University of London,529987,181892,Higher Education Institutions,Not applicable,50.4,Yes,Holborn and St Pancras,Open,
102947,Richmond upon Thames,The Royal Ballet School,530315,181042,Other Independent School,Not applicable,50.4,Yes,Cities of London and Westminster,Open,
141029,Hackney,Inspired Directions School,533896,184836,Other Independent Special School,Not applicable,50.4,Yes,Hackney North and Stoke Newington,Open,
131874,Lambeth,Henry Fawcett Primary School,531198,177886,Community School,Primary,50.4,Yes,Vauxhall,Open,
100625,Lambeth,Lilian Baylis Technology School,530793,178036,Community School,Secondary,50.4,Yes,Vauxhall,Open,
137181,Camden,The UCL Academy,526867,184105,Academy Sponsor Led,Secondary,50.4,Yes,Hampstead and Kilburn,Open,
142414,Kensington and Chelsea,Plan B,526643,177401,Other Independent School,Not applicable,50.3,Yes,Chelsea and Fulham,Closed,8/31/2016
101157,Westminster,Queen's College London,528666,181576,Other Independent School,Not applicable,50.3,Yes,Cities of London and Westminster,Open,
130410,Kensington and Chelsea,Kensington and Chelsea College,526059,177468,Further Education,16 Plus,50.3,Yes,Chelsea and Fulham,Open,
100895,Tower Hamlets,Blue Gate Fields Junior School,535119,180864,Community School,Primary,50.3,Yes,Poplar and Limehouse,Open,
100915,Tower Hamlets,Blue Gate Fields Infants' School,535119,180864,Community School,Primary,50.3,Yes,Poplar and Limehouse,Open,
131842,Islington,Hugh Myddelton Primary School,531473,182684,Community School,Primary,50.2,Yes,Islington South and Finsbury,Open,
100814,Southwark,Townsend Primary School,533028,178832,Community School,Primary,50.2,Yes,Bermondsey and Old Southwark,Open,
100540,Kensington and Chelsea,Mander Portman Woodward School,526502,178737,Other Independent School,Not applicable,50.2,Yes,Kensington,Open,
140603,Kensington and Chelsea,Westminster Tutors,526618,178655,Other Independent School,Not applicable,50.1,Yes,Kensington,Open,
100642,Lambeth,London Nautical School,531386,180308,Foundation School,Secondary,49.9,Yes,Vauxhall,Open,
100791,Southwark,Grange Primary School,533244,179211,Community School,Primary,49.9,Yes,Bermondsey and Old Southwark,Open,
101138,Westminster,"St Matthew's School, Westminster",529827,179261,Voluntary Aided School,Primary,49.8,Yes,Cities of London and Westminster,Open,
100619,Lambeth,St Mark's Church of England Primary School,530822,177860,Voluntary Aided School,Primary,49.8,Yes,Vauxhall,Open,
136256,Lambeth,Oleander Preparatory School,530479,173576,Other Independent School,Not applicable,49.8,Yes,Streatham,Open,
100490,Haringey,Holy Trinity CofE Primary School,533870,189638,Academy Sponsor Led,Primary,49.7,Yes,Chelsea and Fulham,Open,
100224,Hackney,De Beauvoir Primary School,533444,184690,Community School,Primary,49.7,Yes,Hackney South and Shoreditch,Open,
139793,Islington,Tech City College,532046,182962,Free Schools - 16-19,16 Plus,49.7,Yes,Islington South and Finsbury,Open,
100815,Southwark,Victory School,532497,178834,Community School,Primary,49.7,Yes,Bermondsey and Old Southwark,Open,
100538,Kensington and Chelsea,Cameron House School,526802,177872,Other Independent School,Not applicable,49.7,Yes,Chelsea and Fulham,Open,
133905,Camden,Birkbeck College,529884,181947,Higher Education Institutions,Not applicable,49.5,Yes,Holborn and St Pancras,Open,
101104,Westminster,Tachbrook Nursery School,529763,178066,LA Nursery School,Nursery,49.5,Yes,Cities of London and Westminster,Open,
135140,Camden,North Bridge House Prep School,528627,183598,Other Independent School,Not applicable,49.5,Yes,Holborn and St Pancras,Open,
100504,Kensington and Chelsea,Our Lady of Victories RC Primary School,526486,178667,Voluntary Aided School,Primary,49.5,Yes,Kensington,Open,
100428,Islington,Winton Primary School,530634,183172,Community School,Primary,49.4,Yes,Islington South and Finsbury,Open,
100533,Kensington and Chelsea,Knightsbridge School,527623,179103,Other Independent School,Not applicable,49.2,Yes,Chelsea and Fulham,Open,
130423,Westminster,City of Westminster College,526707,181856,Further Education,16 Plus,49.2,Yes,Cities of London and Westminster,Open,
100352,Hammersmith and Fulham,St Peter's Primary School,522274,178492,Voluntary Aided School,Primary,49.2,Yes,Hammersmith,Open,
138803,Lambeth,Octavia House Schools,532254,178590,Other Independent Special School,Not applicable,49.1,Yes,Vauxhall,Open,
130414,Lambeth,The Marine Society College of the Sea,530852,179082,Further Education,16 Plus,49,Yes,Vauxhall,Open,
100781,Southwark,Charles Dickens Primary School,532214,179740,Foundation School,Primary,49,Yes,Bermondsey and Old Southwark,Open,
140201,Hammersmith and Fulham,Westside Academy Trust,522780,178656,Free Schools - Alternative Provision,Not applicable,49,Yes,Hammersmith,Open,
134402,Greenwich,Right Choice Independent Special School,543717,178958,Other Independent School,Not applicable,49,Yes,Greenwich and Woolwich,Open,
131023,Tower Hamlets,Stephen Hawking School,536313,181188,Community Special School,Not applicable,49,Yes,Bethnal Green and Bow,Open,
102529,Hounslow,"St Mary's Catholic Primary School ,Chiswick",521077,178004,Voluntary Aided School,Primary,49,Yes,Brentford and Isleworth,Open,
137501,Tower Hamlets,Opal College London,537453,182930,Other Independent School,Not applicable,48.9,Yes,Bethnal Green and Bow,Closed,3/22/2016
100018,Camden,Netley Primary School,529095,182598,Community School,Primary,48.9,Yes,Holborn and St Pancras,Open,
100522,Kensington and Chelsea,Garden House School,527991,178367,Other Independent School,Not applicable,48.9,Yes,Chelsea and Fulham,Open,
133890,Kensington and Chelsea,Institute of Cancer Research,526873,178394,Higher Education Institutions,Not applicable,48.9,Yes,Chelsea and Fulham,Open,
134192,Westminster,L'Ecole Bilingue Elementaire,526591,181847,Other Independent School,Not applicable,48.9,Yes,Westminster North,Open,
101048,Wandsworth,St Mary's RC Voluntary Aided Primary School,528837,176954,Voluntary Aided School,Primary,48.9,Yes,Battersea,Open,
100912,Tower Hamlets,Marner Primary School,537992,182318,Community School,Primary,48.9,Yes,Poplar and Limehouse,Open,
100875,Southwark,Evelina Hospital School,530620,179339,Community Special School,Not applicable,48.8,Yes,Vauxhall,Open,
133907,Camden,School of Oriental and African Studies,529885,182040,Higher Education Institutions,Not applicable,48.8,Yes,Holborn and St Pancras,Open,
101162,Westminster,Westminster School,530047,179360,Other Independent School,Not applicable,48.7,Yes,Cities of London and Westminster,Open,
133816,City of London,London Metropolitan University,531120,185351,Higher Education Institutions,Not applicable,48.7,Yes,Islington North,Open,
136445,Ealing,Christ the Saviour Church of England Primary School,517691,180814,Voluntary Aided School,Primary,48.7,Yes,Ealing Central and Acton,Open,
101178,Westminster,Eaton Square School,529044,178732,Other Independent School,Not applicable,48.6,Yes,Cities of London and Westminster,Open,
138202,Tower Hamlets,Wapping High School,534642,181343,Free Schools,Secondary,48.6,Yes,Bethnal Green and Bow,Open,
134911,Westminster,Abingdon House School,527282,182181,Other Independent Special School,Not applicable,48.6,Yes,Cities of London and Westminster,Open,
130420,Wandsworth,South Thames College,525815,174588,Further Education,16 Plus,48.6,Yes,Battersea,Open,
101143,Westminster,St Vincent's RC Primary School,528270,181584,Voluntary Aided School,Primary,48.5,Yes,Cities of London and Westminster,Open,
141130,Islington,The Family School London,531278,183271,Free Schools - Alternative Provision,Not applicable,48.5,Yes,Islington South and Finsbury,Open,
131362,Islington,St Paul's Steiner School,532669,184817,Other Independent School,Not applicable,48.5,Yes,Islington South and Finsbury,Open,
138564,Tower Hamlets,Buttercup Primary School,534576,181263,Other Independent School,Not applicable,48.5,Yes,Bethnal Green and Bow,Open,
101128,Westminster,St Edward's Catholic Primary School,527354,182085,Voluntary Aided School,Primary,48.5,Yes,Cities of London and Westminster,Open,
137393,Islington,The New North Academy,532215,184031,Academy Converter,Primary,48.4,Yes,Islington South and Finsbury,Open,
100510,Kensington and Chelsea,Norland Place School,524211,180097,Other Independent School,Not applicable,48.4,Yes,Kensington,Open,
102725,Newham,Keir Hardie Primary School,540280,181665,Community School,Primary,48.4,Yes,West Ham,Open,
100507,Kensington and Chelsea,Redcliffe School,526010,177915,Other Independent School,Not applicable,48.3,Yes,Chelsea and Fulham,Open,
100376,Hammersmith and Fulham,Le Herisson School,522559,178561,Other Independent School,Not applicable,48.3,Yes,Hammersmith,Open,
141956,Hounslow,Floreat Brentford Primary School,517930,178168,Free Schools,Primary,48.2,Yes,Brentford and Isleworth,Open,
100523,Hounslow,The Falcons School for Boys,519997,177937,Other Independent School,Not applicable,48.2,Yes,Brentford and Isleworth,Open,
133646,Tower Hamlets,Al-Mizan School,534293,181595,Other Independent School,Not applicable,48.1,Yes,Bethnal Green and Bow,Open,
134810,Tower Hamlets,London East Academy,534293,181595,Other Independent School,Not applicable,48.1,Yes,Bethnal Green and Bow,Open,
100945,Tower Hamlets,Guardian Angels Roman Catholic Primary School,536313,182505,Voluntary Aided School,Primary,48.1,Yes,Bethnal Green and Bow,Open,
100727,Lewisham,St James's Hatcham Church of England Primary School,536349,176875,Voluntary Aided School,Primary,48.1,Yes,"Lewisham, Deptford",Open,
101181,Westminster,Bales College,523896,182571,Other Independent School,Not applicable,48.1,Yes,Westminster North,Open,
100312,Hackney,Ickburgh School,526230,185034,Community Special School,Not applicable,48.1,Yes,Hackney South and Shoreditch,Open,
100353,Westminster,St Stephen's CofE Primary School,525274,181553,Voluntary Aided School,Primary,48,Yes,Hammersmith,Open,
101121,Westminster,All Souls CofE Primary School,529242,181745,Voluntary Aided School,Primary,47.9,Yes,Cities of London and Westminster,Open,
100385,Islington,Kate Greenaway Nursery School and Children's Centre,530441,183608,LA Nursery School,Nursery,47.9,Yes,Islington South and Finsbury,Open,
136747,Kensington and Chelsea,La Scuola Italiana A Londra,524256,180088,Other Independent School,Not applicable,47.9,Yes,Kensington,Open,
100855,Southwark,Friars Primary Foundation School,531739,179767,Foundation School,Primary,47.8,Yes,Bermondsey and Old Southwark,Open,
100831,Southwark,St John's Walworth Church of England Primary School,532297,178577,Voluntary Aided School,Primary,47.8,Yes,Bermondsey and Old Southwark,Open,
101165,Westminster,Westminster Under School,529634,178630,Other Independent School,Not applicable,47.8,Yes,Cities of London and Westminster,Open,
100285,Hackney,Cardinal Pole Roman Catholic School,535492,184933,Voluntary Aided School,Secondary,47.8,Yes,Hackney South and Shoreditch,Open,
100949,Tower Hamlets,St Agnes RC Primary School,537541,182817,Voluntary Aided School,Primary,47.8,Yes,Poplar and Limehouse,Open,
131026,Barnet,Beis Soroh Schneirer,522082,188271,Other Independent School,Not applicable,47.8,Yes,Hendon,Open,
101124,Westminster,Our Lady of Dolours RC Primary School,525575,181820,Voluntary Aided School,Primary,47.7,Yes,Westminster North,Open,
100044,Camden,St Michael's Church of England Primary School,529204,183886,Voluntary Aided School,Primary,47.7,Yes,Holborn and St Pancras,Open,
101122,Westminster,Burdett-Coutts and Townshend Foundation CofE Primary School,529548,179003,Voluntary Aided School,Primary,47.6,Yes,Cities of London and Westminster,Open,
100322,Hammersmith and Fulham,Avonmore Primary School,524403,178848,Community School,Primary,47.6,Yes,Hammersmith,Open,
100527,Hammersmith and Fulham,St James Senior Girls' School,524403,178848,Other Independent School,Not applicable,47.6,Yes,Hammersmith,Open,
131268,Hammersmith and Fulham,St James Junior School,524403,178848,Other Independent School,Not applicable,47.6,Yes,Hammersmith,Open,
139293,Waltham Forest,Connaught School for Girls,539036,187172,Academy Converter,Secondary,47.6,Yes,Leyton and Wanstead,Open,
139835,Barnet,Rhodes Farm School,521657,191571,Other Independent School,Not applicable,47.5,Yes,Welwyn Hatfield,Open,
100982,Tower Hamlets,Madani Secondary Girls' School,534514,181414,Other Independent School,Not applicable,47.5,Yes,Bethnal Green and Bow,Open,
133168,Westminster,Inchbald School of Design,528188,178873,Miscellaneous,Not applicable,47.5,Yes,Cities of London and Westminster,Open,
101163,Kensington and Chelsea,"The Hampshire School, Chelsea",526991,178029,Other Independent School,Not applicable,47.5,Yes,Chelsea and Fulham,Open,
100048,Camden,Our Lady Roman Catholic Primary School,529268,183862,Voluntary Aided School,Primary,47.5,Yes,Holborn and St Pancras,Open,
101184,Westminster,Queen Elizabeth II Jubilee School,524809,182251,Community Special School,Not applicable,47.5,Yes,Westminster North,Open,
101869,Ealing,Oldfield Primary School,514747,183343,Community School,Primary,47.5,Yes,Ealing North,Open,
142336,Westminster,Wetherby Senior School,528432,181474,Other Independent School,Not applicable,47.4,Yes,Cities of London and Westminster,Open,
101130,Westminster,St George's Hanover Square CofE Primary School,528476,180499,Voluntary Aided School,Primary,47.4,Yes,Cities of London and Westminster,Open,
101160,Westminster,Eaton House School,528183,178867,Other Independent School,Not applicable,47.4,Yes,Cities of London and Westminster,Open,
